economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
MKD,North Macedonia,2061044,28293575661,2.06,28.29,0,0,0,0,,2012,Europe
MHL,Marshall Islands,56712,196764684.2,0.06,0.2,0,0,0,0,,2012,Oceania
MEX,Mexico,117274156,2.18E+12,117.27,2180.7,1,3,4,8,272.59,2012,North America
MDV,Maldives,397231,6637124989,0.4,6.64,0,0,0,0,,2012,Asia
MDG,Madagascar,22346641,34380679957,22.35,34.38,0,0,0,0,,2012,Africa
MDA,Moldova,2859458,25737006168,2.86,25.74,0,0,0,0,,2012,Europe
MAR,Morocco,33241898,2.24E+11,33.24,223.52,0,0,1,1,223.52,2012,Africa
LVA,Latvia,2034319,48763511485,2.03,48.76,1,0,1,2,24.38,2012,Europe
LUX,Luxembourg,530946,59538763541,0.53,59.54,0,0,0,0,,2012,Europe
LTU,Lithuania,2987773,81658512980,2.99,81.66,2,0,3,5,16.33,2012,Europe
LSO,Lesotho,2014988,5209480911,2.01,5.21,0,0,0,0,,2012,Africa
LKA,Sri Lanka,20425000,2.19E+11,20.43,218.8,0,0,0,0,,2012,Asia
LCA,St. Lucia,176654,2591012661,0.18,2.59,0,0,0,0,,2012,North America
LBY,Libya,6285751,1.18E+11,6.29,118.21,0,0,0,0,,2012,Africa
LBR,Liberia,4135662,6663980095,4.14,6.66,0,0,0,0,,2012,Africa
LBN,Lebanon,5537620,99894525694,5.54,99.89,0,0,0,0,,2012,Asia
LAO,Lao PDR,6444527,35374268307,6.44,35.37,0,0,0,0,,2012,Asia
KWT,Kuwait,3348852,2.06E+11,3.35,205.68,0,0,1,1,205.68,2012,Asia
KOR,"Korea, Rep.",50199853,1.81E+12,50.2,1809.66,13,9,8,30,60.32,2012,Asia
KNA,St. Kitts and Nevis,49881,1084420231,0.05,1.08,0,0,0,0,,2012,North America
KIR,Kiribati,106359,210581248,0.11,0.21,0,0,0,0,,2012,Oceania
KHM,Cambodia,14780454,44675351848,14.78,44.68,0,0,0,0,,2012,Asia
KGZ,Kyrgyz Republic,5607200,23882849033,5.61,23.88,0,0,0,0,,2012,Asia
KEN,Kenya,44343469,1.71E+11,44.34,170.53,2,4,7,13,13.12,2012,Africa
KAZ,Kazakhstan,16792090,3.81E+11,16.79,381.22,3,2,6,11,34.66,2012,Asia
JPN,Japan,127629000,4.94E+12,127.63,4943.82,7,14,17,38,130.10,2012,Asia
JOR,Jordan,8089963,86467865323,8.09,86.47,0,0,0,0,,2012,Asia
JAM,Jamaica,2842128,26812197175,2.84,26.81,4,5,3,12,2.23,2012,North America
ITA,Italy,59539717,2.47E+12,59.54,2471,8,9,11,28,88.25,2012,Europe
ISR,Israel,7910500,2.80E+11,7.91,280.17,0,0,0,0,,2012,Asia
ISL,Iceland,320716,15535564850,0.32,15.54,0,0,0,0,,2012,Europe
IRQ,Iraq,31890012,3.13E+11,31.89,313.31,0,0,0,0,,2012,Asia
